idDevice;txName;nmAltitude;nmLatitude;nmLongitude;nmSerial;nmYear;txModel;txTypeSection;txNote;idPlant
1;A01;126;3.886.879;1.638.523;;-1;G87;Linea 01;Cortale;1
2;A02;131;3.886.722;1.638.678;;-1;G87;Linea 01;Cortale;2
3;A04;164;3.886.599;1.639.101;;-1;G90;Linea 01;Cortale;2
4;A05;215;3.886.404;1.639.567;;-1;G87;Linea 01;Cortale;2
5;A06;215;3.886.077;1.639.804;;-1;G90;Linea 01;Cortale;2
6;A07;207;3.885.750;1.640.066;;-1;G87;Linea 01;Cortale;2
7;A08;274;3.885.552;1.640.201;;-1;G87;Linea 01;Cortale;2
8;A09;252;3.885.723;1.640.590;;-1;G87;Linea 01;Cortale;2
9;A10;238;3.885.885;1.640.545;;-1;G87;Linea 01;Cortale;2
10;A11;283;3.885.340;1.639.763;;-1;G90;Linea 01;Cortale;2
11;A12;336;3.885.123;1.639.573;;-1;G87;Linea 01;Cortale;2
12;A13;391;3.884.861;1.639.825;;-1;G87;Linea 01;Cortale;2
13;A16;380;3.884.813;1.640.454;;-1;G87;Linea 02;Cortale;2
14;A18;283;3.886.448;1.643.089;;-1;G87;Linea 02;Cortale;2
15;A19;300;3.885.776;1.643.054;;-1;G90;Linea 02;Cortale;2
16;A20;302;3.885.505;1.642.969;;-1;G87;Linea 02;Cortale;2
17;A21;287;3.886.271;1.643.412;;-1;G87;Linea 02;Cortale;2
18;A22;299;3.886.036;1.643.340;;-1;G87;Linea 02;Cortale;2
19;A23;306;3.885.840;1.643.654;;-1;G90;Linea 02;Cortale;2
20;A24;274;3.885.321;1.640.387;;-1;G87;Linea 02;Cortale;2
21;A25;307;3.885.937;1.644.021;;-1;G87;Linea 02;Cortale;2
22;A27;325;3.885.109;1.640.235;;-1;G87;Linea 02;Cortale;2
23;A28;302;3.885.690;1.644.532;;-1;G90;Linea 02;Cortale;2
24;A29;309;3.885.390;1.644.595;;-1;G90;Linea 02;Cortale;2
25;A30;287;38,85876;16,45505;;-1;G90;Linea 03;Cortale;2
26;A31;305;38,86118;16,45873;;-1;G87;Linea 03;Cortale;2
27;A32;336;38,86055;16,46498;;-1;G87;Linea 03;Cortale;2
28;A33;306;38,85849;16,4599;;-1;G87;Linea 03;Cortale;2
29;A34;329;38,86184;16,46378;;-1;G87;Linea 03;Cortale;2
30;A35;330;38,86357;16,4656;;-1;G87;Linea 03;Cortale;2
31;SM06;881;3.877.218;1.636.987;;-1;G90;Linea 01;Sambuco;2
32;SM07;890;3.877.012;1.637.092;;-1;G90;Linea 01;Sambuco;2
33;SM08;919;3.876.822;1.637.024;;-1;G90;Linea 01;Sambuco;2
34;SM09;910;3.876.644;1.637.000;;-1;G90;Linea 01;Sambuco;2
35;SM10;860;3.876.206;1.637.134;;-1;G87;Linea 01;Sambuco;2
36;SM01;877;3.878.344;1.637.025;;-1;G90;Linea 02;Sambuco;2
37;SM02;861;3.878.145;1.636.971;;-1;G90;Linea 02;Sambuco;2
38;SM03;876;3.878.533;1.637.175;;-1;G90;Linea 02;Sambuco;2
39;SM04;875;3.877.731;1.637.046;;-1;G90;Linea 02;Sambuco;2
40;SM05;885;3.877.493;1.637.004;;-1;G90;Linea 02;Sambuco;2
41;CONTROL;;;;;-1;;PLANT;;2
42;CONTROL;;;;;-1;;PLANT;;2
43;MA01;793;3.793.740;1.342.550;;-1;G58;Linea 01;Villafrati;2
44;MA02;756;3.793.979;1.342.419;;-1;G58;Linea 01;Villafrati;2
45;MA03;789;3.794.056;1.342.582;;-1;G52;Linea 01;Villafrati;2
46;MA04;772;3.794.139;1.342.739;;-1;G52;Linea 01;Villafrati;2
47;MA10;779;3.794.903;1.344.133;;-1;G58;Linea 01;Villafrati;2
48;MA11;793;3.794.861;1.344.297;;-1;G58;Linea 01;Villafrati;2
49;MA12;770;3.794.871;1.344.559;;-1;G52;Linea 01;Villafrati;2
50;MA13;784;3.794.870;1.344.741;;-1;G52;Linea 01;Villafrati;2
51;MA14;820;3.794.904;1.344.943;;-1;G52;Linea 01;Villafrati;2
52;MA15;822;3.794.843;1.345.109;;-1;G58;Linea 01;Villafrati;2
53;MA16;815;3.794.718;1.345.209;;-1;G58;Linea 01;Villafrati;2
54;MA17;795;3.794.584;1.345.326;;-1;G58;Linea 01;Villafrati;2
55;MA18;777;3.794.483;1.345.465;;-1;G58;Linea 01;Villafrati;2
56;MA19;749;3.794.440;1.345.647;;-1;G58;Linea 01;Villafrati;2
57;MA20;707;3.794.282;1.345.796;;-1;G58;Linea 01;Villafrati;2
58;MA21;701;3.794.181;1.345.970;;-1;G58;Linea 01;Villafrati;2
59;MA22;716;3.794.140;1.346.189;;-1;G58;Linea 01;Villafrati;2
60;MA23;708;3.794.088;1.346.358;;-1;G58;Linea 01;Villafrati;2
61;CE01;700;3.791.313;1.344.711;;-1;G58;Linea 02;Villafrati;2
62;CE02;673;3.791.350;1.344.983;;-1;G52;Linea 02;Villafrati;2
63;CE03;667;3.791.383;1.345.142;;-1;G58;Linea 02;Villafrati;2
64;CE05;665;3.790.851;1.345.227;;-1;G58;Linea 02;Villafrati;2
65;CE06;735;3.790.440;1.345.010;;-1;G52;Linea 02;Villafrati;2
66;CE07;736;3.790.387;1.345.221;;-1;G52;Linea 02;Villafrati;2
67;CE08;720;3.790.461;1.345.330;;-1;G52;Linea 02;Villafrati;2
68;CE10;683;3.790.623;1.345.749;;-1;G58;Linea 02;Villafrati;2
69;CONTROL;;;;;-1;;PLANT;;2
70;V01;722;3.789.728;1.349.108;;-1;G58;Linea 01;Ciminna;2
71;V02;755;3.789.839;1.349.264;;-1;G52;Linea 01;Ciminna;2
72;V03;764;3.789.940;1.349.373;;-1;G52;Linea 01;Ciminna;2
