idMeasure;dtDate;nmActivePower;nmAmbientTemp ;nmControllerHubTemp;nmControllerTopTemp;nmFrequency;nmGeneratorSpeed;nmRotorSpeed;nmWindSpeed; nmPressure;nmNacelleDir;nmNacelleTemp;nmProduciblePower;nmProduciblePowerVestas;idDevice
1;01/10/21 00:10;268,4265442;21,00003433;37,18988037;33,00005341;49,96656418;707,9384766;6,28499651;4,845517635;246,0362549;17,60000038;33,00005341;395;267,1718445;157
2;01/10/21 00:20;326,5097656;21,00003433;37,20000076;33,00005341;49,98347092;740,473877;6,567597866;4,950675488;247,3111115;5,608508587;33,00005341;395;325,4358826;157
3;01/10/21 00:30;326,565918;21,00003433;37,51013947;33,00005341;50,00946045;751,9859009;6,677395821;5,023528576;246,1113739;13,81548977;33,00005341;395;328,1046143;157
4;01/10/21 00:40;200,4060669;21,00003433;37,19981003;33,00005341;50,01364136;699,831665;6,2000103;4,478449821;246,7840881;23,14354134;33,00005341;277;200,4328156;157
5;01/10/21 00:50;324,9172974;21,00003433;37,00006104;33,00005341;50,02260208;742,9361572;6,59294939;5,032628536;246,3723145;25,64260101;33,00005341;395;324,493042;157
6;01/10/21 01:00;305,6595459;21,00003433;37,28987885;33,00005341;50,02812958;734,0187988;6,507053375;5,129383087;246,868988;22,28804588;33,00005341;395;305,6194153;157
7;01/10/21 01:10;208,1816864;21,00003433;37,11013412;33,00005341;49,99519348;699,9207764;6,205095768;4,545269489;247,5023346;22,02222633;33,00005341;277;208,2779083;157
8;01/10/21 01:20;149,1808929;21,00003433;37,00006104;33,00005341;50,00524139;699,7098999;6,2000103;4,214166641;246,8200226;32,57193375;33,00005341;179;149,6463928;157
9;01/10/21 01:30;257,2342529;21,00003433;37,00006104;33,00005341;49,99757385;706,4619141;6,26181221;4,885783195;246,1040802;27,21676445;33,00005341;395;255,8924103;157
10;01/10/21 01:40;280,1233826;21,00003433;37,00006104;33,00005341;50,00593948;713,7236328;6,32646513;4,876807213;247,2269592;31,27959061;33,00005341;395;279,9425659;157
11;01/10/21 01:50;533,6432495;21,00003433;37,00006104;33,00005341;50,02355957;843,5794067;7,502369404;5,835617065;246,0603333;26;33,00005341;709;533,5273438;157
12;01/10/21 02:00;690,8317261;20,89997864;37,00006104;32,7101326;50,03488922;925,6563721;8,214660645;6,16608429;246,1694336;26;33,00005341;709;690,1934814;157
13;01/10/21 02:10;650,8464966;20,90000343;37,00006104;32,19999313;49,98898697;911,6043701;8,0942173;6,167360783;245,8222198;26;33,00005341;709;651,3891602;157
14;01/10/21 02:20;476,5189209;20,60001183;37,00006104;32,00005341;50,00389481;828,5518188;7,356898308;5,668007374;247,4262543;26;33,00005341;537;475,7062378;157
15;01/10/21 02:30;512,8590698;20,90000534;37,00006104;32,00005341;50,01057053;845,8021851;7,505340576;5,894990444;246,6616211;32,86050415;33,00005341;709;513,0526733;157
16;01/10/21 02:40;349,9810181;20,81016731;37,00006104;32,00005341;50,00016022;756,3431396;6,717736721;5,054162502;245,9342041;26,58437729;33,00005341;395;349,8381958;157
17;01/10/21 02:50;386,385498;20,88986969;37,00006104;32,00005341;50,01094055;773,8349609;6,87292099;5,235669136;246,3367462;26,10000038;33,00005341;395;385,9253235;157
18;01/10/21 03:00;350,2522278;20,11014366;37,00006104;32,00005341;49,99560547;753,454834;6,693151474;5,239172935;246,6290741;24,80418205;33,00005341;395;350,3722534;157
19;01/10/21 03:10;422,9776001;20,6000042;37,00006104;32,00005341;49,98681259;797,7990112;7,087157726;5,442485332;246,8671265;16,5;33,00005341;537;422,7799377;157
20;01/10/21 03:20;259,6407166;20,40000916;37,00006104;32,00005341;50,00096512;727,3963623;6,447392941;4,600130081;246,5566406;22,433321;33,00005341;277;260,9003601;157
21;01/10/21 03:30;156,0418549;20,38987541;37,00006104;32,00005341;50,00222015;699,9036255;6,2000103;4,360369682;247,9334564;29,69851303;33,00005341;277;155,0883026;157
22;01/10/21 03:40;117,1266861;20,21012878;37,00006104;32,00005341;50,00679398;699,6280518;6,2000103;4,121551037;245,5232239;36,66257858;33,00005341;179;118,4992447;157
23;01/10/21 03:50;-19,80295944;20,68988609;36,81011963;32,00005341;50,00432587;347,9031982;3,071222067;2,712003708;247,5285645;27,37149239;32,3101387;0;3,09130168;157
24;01/10/21 04:00;-39,61246872;21,00003433;35,30000305;32,00005341;50,00175476;1,074415803;0,011793333;2,881536961;247,3165894;154,8189087;32,00005341;33;0;157
25;01/10/21 04:10;-38,53927994;21,00003433;36,38991928;32,00005341;49,99221039;9,142147064;0,082715005;3,875945807;244,6921692;331,5148926;32,00005341;179;0;157
26;01/10/21 04:20;76,66062927;20,49999428;36,21013641;32,00005341;50,00864792;672,7089844;5,976854324;4,325960636;247,6685333;56,40000153;32,00005341;277;98,10707092;157
27;01/10/21 04:30;165,9803162;20,80000877;36,00006104;32,00005341;49,99391556;700,1461792;6,202498436;4,371445179;246,6875763;56,40000153;32,68988037;277;165,2878876;157
28;01/10/21 04:40;314,5686646;20,51012421;36,09999847;32,00005341;49,99692154;733,8851929;6,516922474;5,397751808;245,8582001;56,40000153;33,00005341;537;313,7802124;157
