idPlants;txPlants;txUp;txEcName;txSse;txSubSystem;idVenditori
1;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;1
2;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;2
3;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;3
4;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;4
5;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;5
6;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;6
7;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;7
8;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;8
9;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;9
10;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;10
11;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;11
12;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;12
13;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;13
14;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;14
15;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;15
16;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;16
17;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;17
18;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;18
19;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;19
20;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;20
21;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;21
22;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;22
23;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;23
24;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;24
25;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;25
26;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;26
27;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;27
28;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;28
29;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;29
30;Cortale;UP_PEPIZZA_1;Gamesa_Cortale;SSECortale;WPP;30
31;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;31
32;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;32
33;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;33
34;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;34
35;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;35
36;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;36
37;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;37
38;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;38
39;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;39
40;Sambuco;UP_MPNTLCSMBC_1;Gamesa_Sambuco;SSESambuco;WPP;40
41;Cortale;;;SSECortale;WPP;41
42;Sambuco;;;SSESambuco;WPP;42
43;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;43
44;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;44
45;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;45
46;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;46
47;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;47
48;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;48
49;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;49
50;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;50
51;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;51
52;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;52
53;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;53
54;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;54
55;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;55
56;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;56
57;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;57
58;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;58
59;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;59
60;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;60
61;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;61
62;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;62
63;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;63
64;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;64
65;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;65
66;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;66
67;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;67
68;Villafrati;UP_MPNTLCDMRN_1;Gamesa_Villafrati;SSEVillafrati;WPP;68
69;Villafrati;;;SSEVillafrati;WPP;69
70;Ciminna;UP_PRCLCDPLRM_1;Gamesa_Ciminna;SSECiminna;WPP;70
