idVenditori;txVendors;txDownTimeClass
1;Gamesa;PRM_GAMESA
2;Gamesa;PRM_GAMESA
3;Gamesa;PRM_GAMESA
4;Gamesa;PRM_GAMESA
5;Gamesa;PRM_GAMESA
6;Gamesa;PRM_GAMESA
7;Gamesa;PRM_GAMESA
8;Gamesa;PRM_GAMESA
9;Gamesa;PRM_GAMESA
10;Gamesa;PRM_GAMESA
11;Gamesa;PRM_GAMESA
12;Gamesa;PRM_GAMESA
13;Gamesa;PRM_GAMESA
14;Gamesa;PRM_GAMESA
15;Gamesa;PRM_GAMESA
16;Gamesa;PRM_GAMESA
17;Gamesa;PRM_GAMESA
18;Gamesa;PRM_GAMESA
19;Gamesa;PRM_GAMESA
20;Gamesa;PRM_GAMESA
21;Gamesa;PRM_GAMESA
22;Gamesa;PRM_GAMESA
23;Gamesa;PRM_GAMESA
24;Gamesa;PRM_GAMESA
25;Gamesa;PRM_GAMESA
26;Gamesa;PRM_GAMESA
27;Gamesa;PRM_GAMESA
28;Gamesa;PRM_GAMESA
29;Gamesa;PRM_GAMESA
30;Gamesa;PRM_GAMESA
31;Gamesa;PRM_GAMESA
32;Gamesa;PRM_GAMESA
33;Gamesa;PRM_GAMESA
34;Gamesa;PRM_GAMESA
35;Gamesa;PRM_GAMESA
36;Gamesa;PRM_GAMESA
37;Gamesa;PRM_GAMESA
38;Gamesa;PRM_GAMESA
39;Gamesa;PRM_GAMESA
40;Gamesa;PRM_GAMESA
41;;
42;;
43;Gamesa;PRM_GAMESA
44;Gamesa;PRM_GAMESA
45;Gamesa;PRM_GAMESA
46;Gamesa;PRM_GAMESA
47;Gamesa;PRM_GAMESA
48;Gamesa;PRM_GAMESA
49;Gamesa;PRM_GAMESA
50;Gamesa;PRM_GAMESA
51;Gamesa;PRM_GAMESA
52;Gamesa;PRM_GAMESA
53;Gamesa;PRM_GAMESA
54;Gamesa;PRM_GAMESA
55;Gamesa;PRM_GAMESA
56;Gamesa;PRM_GAMESA
57;Gamesa;PRM_GAMESA
58;Gamesa;PRM_GAMESA
59;Gamesa;PRM_GAMESA
60;Gamesa;PRM_GAMESA
61;Gamesa;PRM_GAMESA
62;Gamesa;PRM_GAMESA
63;Gamesa;PRM_GAMESA
64;Gamesa;PRM_GAMESA
65;Gamesa;PRM_GAMESA
66;Gamesa;PRM_GAMESA
67;Gamesa;PRM_GAMESA
68;Gamesa;PRM_GAMESA
69;;
70;Gamesa;PRM_GAMESA
71;Gamesa;PRM_GAMESA
72;Gamesa;PRM_GAMESA
73;Gamesa;PRM_GAMESA
74;Gamesa;PRM_GAMESA
75;Gamesa;PRM_GAMESA
76;Gamesa;PRM_GAMESA
77;Gamesa;PRM_GAMESA
78;Gamesa;PRM_GAMESA
79;Gamesa;PRM_GAMESA
80;Gamesa;PRM_GAMESA
81;Gamesa;PRM_GAMESA
82;Gamesa;PRM_GAMESA
83;Gamesa;PRM_GAMESA
84;Gamesa;PRM_GAMESA
85;Gamesa;PRM_GAMESA
86;Gamesa;PRM_GAMESA
87;Gamesa;PRM_GAMESA
88;Gamesa;PRM_GAMESA
89;Gamesa;PRM_GAMESA
90;Gamesa;PRM_GAMESA
91;Gamesa;PRM_GAMESA
92;Gamesa;PRM_GAMESA
93;Gamesa;PRM_GAMESA
94;Gamesa;PRM_GAMESA
95;Gamesa;PRM_GAMESA
96;Gamesa;PRM_GAMESA
97;Gamesa;PRM_GAMESA
98;Gamesa;PRM_GAMESA
99;Gamesa;PRM_GAMESA
100;Gamesa;PRM_GAMESA
101;Gamesa;PRM_GAMESA
102;Gamesa;PRM_GAMESA
103;Gamesa;PRM_GAMESA
104;Gamesa;PRM_GAMESA
105;;
106;Gamesa;PRM_GAMESA
107;Gamesa;PRM_GAMESA
108;Gamesa;PRM_GAMESA
109;Gamesa;PRM_GAMESA
110;Gamesa;PRM_GAMESA
111;Gamesa;PRM_GAMESA
112;Gamesa;PRM_GAMESA
113;Gamesa;PRM_GAMESA
114;Gamesa;PRM_GAMESA
115;Gamesa;PRM_GAMESA
116;Gamesa;PRM_GAMESA
117;Gamesa;PRM_GAMESA
118;Gamesa;PRM_GAMESA
119;Gamesa;PRM_GAMESA
120;Gamesa;PRM_GAMESA
121;Gamesa;PRM_GAMESA
122;Gamesa;PRM_GAMESA
123;Gamesa;PRM_GAMESA
124;Gamesa;PRM_GAMESA
125;Gamesa;PRM_GAMESA
126;Gamesa;PRM_GAMESA
127;Gamesa;PRM_GAMESA
128;Gamesa;PRM_GAMESA
129;Gamesa;PRM_GAMESA
130;Gamesa;PRM_GAMESA
131;Gamesa;PRM_GAMESA
132;Gamesa;PRM_GAMESA
133;Gamesa;PRM_GAMESA
134;Gamesa;PRM_GAMESA
135;Gamesa;PRM_GAMESA
136;Gamesa;PRM_GAMESA
137;Gamesa;PRM_GAMESA
138;Gamesa;PRM_GAMESA
139;Gamesa;PRM_GAMESA
140;Gamesa;PRM_GAMESA
141;Gamesa;PRM_GAMESA
142;Gamesa;PRM_GAMESA
143;Gamesa;PRM_GAMESA
144;Gamesa;PRM_GAMESA
145;Gamesa;PRM_GAMESA
146;Gamesa;PRM_GAMESA
147;Gamesa;PRM_GAMESA
148;Gamesa;PRM_GAMESA
149;Gamesa;PRM_GAMESA
150;Gamesa;PRM_GAMESA
151;Gamesa;PRM_GAMESA
152;Gamesa;PRM_GAMESA
153;Gamesa;PRM_GAMESA
154;Gamesa;PRM_GAMESA
155;Gamesa;PRM_GAMESA
156;;
157;Vestas;PRM_VESTAS
158;Vestas;PRM_VESTAS
159;Gamesa;PRM_GAMESA
160;Gamesa;PRM_GAMESA
161;Gamesa;PRM_GAMESA
162;Gamesa;PRM_GAMESA
163;Gamesa;PRM_GAMESA
164;Gamesa;PRM_GAMESA
165;Gamesa;PRM_GAMESA
166;Gamesa;PRM_GAMESA
167;Gamesa;PRM_GAMESA
168;Gamesa;PRM_GAMESA
169;Gamesa;PRM_GAMESA
170;Gamesa;PRM_GAMESA
171;Gamesa;PRM_GAMESA
172;Gamesa;PRM_GAMESA
173;Gamesa;PRM_GAMESA
174;Gamesa;PRM_GAMESA
175;Gamesa;PRM_GAMESA
176;Gamesa;PRM_GAMESA
177;Gamesa;PRM_GAMESA
178;Gamesa;PRM_GAMESA
179;Gamesa;PRM_GAMESA
180;Gamesa;PRM_GAMESA
181;Gamesa;PRM_GAMESA
182;Gamesa;PRM_GAMESA
183;Gamesa;PRM_GAMESA
184;Gamesa;PRM_GAMESA
185;Gamesa;PRM_GAMESA
186;Gamesa;PRM_GAMESA
187;Gamesa;PRM_GAMESA
188;Gamesa;PRM_GAMESA
189;;
190;Vestas;PRM_VESTAS
191;Vestas;PRM_VESTAS
192;Vestas;PRM_VESTAS
193;Vestas;PRM_VESTAS
194;;
195;;
196;;PRM
197;;PRM
198;;
199;;
200;;
201;;
202;;
203;;
204;;
205;;
206;;
207;;
208;;
209;;
210;;
211;;
212;;
213;;
214;;
215;;
216;;
217;;
218;;
